taxon,description
Carex canescens,"

Plants cespitose, in small and medium-sized clumps; rhizomes short.  Culms erect, not stiff, 15–90 cm.  Leaves: sheaths pale brown abaxially, inner band thin, hyaline, sometimes slightly red tinged, concave at summit; ligules slightly longer than wide; blades pale green to gray-green flat, 10–20(–30) cm × (1.5–)2–4 mm, subequal to shorter than culms, not stiff.  Inflorescences 2–15 cm × 5–10 mm; proximal bracts shorter than to exceeding spikes; distal bracts usually scalelike.  Spikes 4–8, gynecandrous, proximal ± remote, distal spikes approximate, sometimes flexuous, containing (5–)10–20(–30) perigynia suborbicular to oblong, 3–12 ×  3–5 mm; terminal spike staminate for less than 1/2 of length, often clavate due to more conspicuous staminate part.  Pistillate scales hyaline with green, 3-veined center when young, usually brownish tinged in age, broadly ovate, subequal to, not concealing perigynia, apex obtuse to acutish.  Perigynia appressed-ascending, gray-green, becoming yellowish brown, obscurely many-veined, elliptic-ovate, 1.8–3 × 1.2–1.7 mm, widest near middle, membranous; beak abaxial suture inconspicuous, small marginal teeth.  Achenes pale brown, oblong-obovate, 1.25–1.5 × 1–1.25 mm, dull to slightly glossy.  2n = 56."
Carex canescens,"

Rhizome short. Culms tufted, 25-50 cm tall, erect, trigonous, scabrous above, clothed at base with brown bladeless sheaths. Leaves shorter than culm, blades 2-3 mm wide, flat, margins scabrous. Involucral bracts glumelike, proximal ones sometimes setaceous. Spikes 4-7, gynaecandrous, ovate-oblong, 6-10 × 3-4 mm; upper spikes congested, lower ones remote. Female glumes pale, ovate, ca. 2 mm, membranous, 1-veined, apex acute. Utricles green-brown, slightly longer than glume, ovate or elliptic, plano-convex, 2-2.2 × ca. 1.2 mm, membranous, glabrous, minutely tuberculate, brown-purple 5-12-veined on both faces, base subrounded, spongy, shortly stipitate, apex abruptly contracted into a slightly scabrous short beak, orifice emarginate. Nutlets tightly enveloped, elliptic or ovate, plano-convex, ca. 1.5 mm, base shortly stipitate; style base not thickened; stigmas 2. Fl. and fr. Jun-Aug. 2n = 56."
Carex canescens,"

Perennial, sometimes tufted, 20-45 cm. Rhizome short. Stem sharply trigonous, greyish green, papillose and scabrous especially along edges. Leaves shorter than stem; sheaths to 90 mm, soft, grey, margin of scarious side concave; ligule c. 0.5 mm, white, scarious, arch higher than wide; blades 1.5-2.5 mm wide, carinate, flat to folded, grey-green, margin revolute, both sides papillose, margins and keel scabrous especially towards apex. Inflorescence 25-50 mm, of 3-7 gynecandrous spikes, overlapping or lower remote. Bracts glume-like or lowest sometimes green, narrow, much longer than its spike. Spikes 5-8.5 x 3-4 mm, sessile; female glumes 1.5-2 x 1.3-1.5 mm, cymbiform, acute, midnerve green or yellow, sides scarious; utricles 2-2.3 x 1-1.3 mm, ellipsoid to ovoid, plano-convex, rather clearly nerved, green to yellow, papillose, occasionally with a 0.1 mm stipe; beak obscure, conical, with scabrous, almost straight lateral nerves. Nut 1.3-1.6 x c. 0.9 mm, ovoid, lenticular, apiculate, light brown to brown, finely striate papillose."
Carex vulpina,"A stout, densely tufted, glabrous perennial 30-100 cm. Rhizomes short, shoots stout. Roots thick, grey-brown. Scales dark brown, remaining as black fibres. Stems rough above, smooth below, robust, very sharply angled or almost winged, faces ± concave. Lvs to 80 cm x 4-10 mm, ± erect, acutely keeled, ± abruptly tapering to a flat, sharp point,           bright dark green. Ligule 2-5(-6) mm broader than long, overlapping lf-margins, truncate deltoid. Hyaline lfsheaths gland-dotted or transversely wrinkled.  infl a stout dense panicle, warm reddish brown. Bracts short and inconspicuous, setaceous, with prominent dark auricles.  Spikes numerous, 8-14 mm, compound, all or most male above and female below. Male glumes 4-5 mm, ovate, acuminate, dark or rusty brown with a green midrib. Female glumes 4-5 mm ovate, acuminate, dark or rusty brown, midrib indistinct.  Utricle ovoid-elliptic, brown, only faintly nerved, and 0 on the flat face, minutely pappilose, readily dropping at maturity. Beak 1-1.5 mm, split on back. Stigmas 2. Nut oblong-obovoid, biconvex. "
Carex vulpina,"

Rhizome short, indurate. Culms tufted, 40-70 cm tall, slightly stiff, compressed trigonous, scabrous narrowly winged above, clothed at base with pale brown sheaths disintegrating into fibers. Leaves longer than culm, blades pale green, linear, 5-7 mm wide, flat, margins scabrous, apex acuminate; membranous side of leaf sheaths ferruginous puncticulate. Involucral bracts setaceous. Inflorescence cylindric, 3-4.5 × 1.5-2 cm; spikes numerous, androgynous, ovate, 7-10 mm. Female glumes pale green, ovate, 2.5-3.5 mm, ferruginous puncticulate, green 1-veined costa excurrent into a slightly scabrous awn. Utricles ferruginous-brown, longer than glume, ovate-lanceolate, plano-convex, 3.5-4 mm, leathery, distinctly veined abaxially, nerveless or veined only at base adaxially, base subrounded, spongy, shortly stipitate, upper margins narrowly winged, spinulose-serrate, apex gradually attenuate into a long beak, beak deeply cleft abaxially, cuneate-cleft adaxially, 2-toothed at orifice. Nutlets brown, oblong, biconvex, ca. 2 mm, lustrous; style base thickened; stigmas 2. Fl. and fr. Aug. 2n = 68."
Phleum alpinum,"A rather stout perennial, loosely to densely tufted, 10-50 cm, with short, creeping rhizomes. Culms erect, or ascending from a bent  base, slender, smooth, 2-4 noded. Lvs hairless; sheaths rounded on the back, smooth, the basal becoming dark brown or blackish, the upper strongly inflated; ligule to 2 mm, truncate; blades to 12 cm by 6 mm, flat, firm, scabrid on margins, otherwise smooth, narrowed to a fine blunt tip, upper shorter. Panicle 1-5 cm, dense, stout, ovoid, or broadly cyindrical, obtuse, often purplish, branches downy; spikelets 3-3.8 mm, tightly packed, 1 flowered; glumes narrowly oblong, truncate, glabrous, never long-ciliate, keeled, keels long pectinate-ciliate to base, margins scarcely hyaline, that of the lower glume woolly, 3-5 nerved, awned from the tip with a rigid, rough awn to 3 mm, longer than any other British sp.; lemma 1/2 as long as  glumes, broadly elliptic oblong, truncate, 3-5 nerved, membranous, minutely hairy on the nerves; Palea nearly as long as the lemma. Anthers 1-1.5 mm."
Phleum alpinum,"

Perennial, shortly rhizomatous. Culms loosely tufted, erect or decumbent at base, 5–40(–60) cm tall, 3–4-noded. Leaf sheaths glabrous, upper slightly inflated; leaf blades broadly linear, 2–13 cm, 2–9 mm wide, the upper shorter than the lower, glabrous, apex acute; ligule 2–3 mm, obtuse. Panicle broadly cylindrical to ovoid, 1–6 × 0.6–1.2 cm, usually purplish; branches adnate to central axis. Spikelets oblong, 3–4 mm (excluding awns); rachilla extension absent; glumes oblong, membranous, scaberulous, lower softly hairy on margins, keel conspicuously pectinate-ciliate, apex truncate, cuspidate into a stiff, 1.5–3 mm, glabrous or ciliate awn; lemma ca. 2 mm, 5-veined, veins puberulent, apex truncate; anthers 1–1.5 mm. Caryopsis ca. 1.5 mm. Fl. and fr. Jun–Oct. 2n = 14, 28."
Phleum alpinum,"

Loosely tufted, shortly rhizomatous perennial; culms 5-50 cm high, erect or ascending. Leaf-blades up to 17 cm long and 8 mm wide, the upper shorter than the lower, glabrous; upper sheaths slightly inflated; ligule up to 2 mm long, obtuse. Panicle 1-5(-6) cm long, 7-15 mm wide, broadly cylindrical to ovoid, usually purplish. Spikelets 3-55(-8.5) mm long (including awns); glumes truncate, stiffly ciliate on the keel, scabrid on the sides, the lower softly hairy on the margins; awn 1-3(-4) mm long, glabrous or ciliate; lemma two-thirds the length of the glumes, 3-5-nerved, minutely hairy on the nerves; anthers 1-1.5 mm long."
Carex lachenalii,"A shortly creeping glabrous perennial, 10-20(-30) cm. Stems trigonous, strongly ridged, often curved. Lvs 1-2 mm wide, shorter than stems, ±  flat, dark green; ligule 2-4 mm, ± truncate; lower sheaths lfless, not fibrous. Infl 1-2(-4) cm dense. Spikes 2-4(-5), 5-8 mm, contiguous or the lowest somewhat remote, sessile, subclavate, female at top, male at base. Lower bracts glumaceous. Female glumes c 2 mm, broadly ovate, ± rhomboid, obtuse or acute, reddish-brown with a hyaline margin and green midrib.  Utricle 2.5-4 mm, ovate, narrowed at each end, plano-convex, distinctly ribbed, green below, brown above; beak 0.5-0.8 mm, smooth, split down the back, the halves overlapping. Nut 2 mm, oval, biconvex. "
Carex lachenalii,"

Plants ± loosely cespitose, in small clumps; rhizomes short.  Culms weakly erect, sometimes slightly curving, 10–40 cm, smooth or nearly so.  Leaves: sheaths pale brown abaxially, inner band hyaline, slightly red tinged, concave at summit; ligules short; blades mid to dark green, flat, 5–15 cm × 1–2 mm, usually shorter than culms.  Inflorescences erect, 1–2.5 cm × 5–12 mm; proximal bracts scalelike, usually 2–8 mm, shorter than spikes.  Spikes 2–5, lateral spikes gynecandrous, approximate or 1–2 proximal slightly separate, containing 10–20 perigynia, short-oblong to suborbicular.  Pistillate scales red-brown with pale brown center and white-hyaline margins, oblong-ovate, subequaling perigynia, apex obtuse.  Perigynia ascending, brownish green or in age brownish yellow, lightly or obscurely several-veined, obovate, 2–3.5 × 1–1.5 mm, base round-tapering, membranous; beak abaxial suture evident, entire or with few marginal teeth.  Achenes pale to mid brown, elliptic, 1.2–1.5 × 1 mm, dull to slightly glossy.  2n = 64"
Carex lachenalii,"

Rhizome oblique. Culms loosely tufted, 8-20 cm tall, obtusely trigonous, smooth, slightly scabrous above, clothed at base with pale brown sheaths. Leaves shorter than culm, blades linear, 1-2 mm wide, flat or slightly involute. Involucral bracts glumelike. Spikes usually 3, upper 2 gynaecandrous, lower spikes female or gynaecandrous, terminal spike clavate, 0.8-1.2 cm, remaining spikes rather small, elliptic, rarely ovate, 4-8 mm. Female glumes brown, elliptic or ovate, with green midrib. Utricles yellow-brown below, dark brown above, longer than glume, ovate or obovate, plano-convex, ca. 3 × 1 mm, obscurely finely veined, base broadly cuneate, stipitate, apex gradually tapering into a smooth blackish beak, beak deeply cleft abaxially at orifice. Nutlets rather tightly enveloped, ovate-elliptic or elliptic; style base not thickened; stigmas 2. 2n = 64."
Brachiaria subquadripara,"

Annual or short-lived perennial. Culms slender, straggling, rooting at lower nodes, 20–60 cm tall, nodes pubescent. Leaf sheaths loose, glabrous or with tubercle-based hairs or ciliate margins; leaf blades lanceolate or linear-lanceolate, 4–15 × 0.4–1 cm, glabrous or pubescent, base subrounded, margins thicker and scabrous, apex acute or acuminate. Inflorescence axis 3–10 cm; racemes 3–6, 2–4 cm, divergent to reflexed; rachis flat, 0.7–1 mm wide, narrowly winged, nearly glabrous; spikelets single, in 2 rows; pedicels glabrous. Spikelets elliptic to narowly obovate, (3–)3.5–4 mm, glabrous, acute; lower glume broadly ovate, 1/3–1/2 spikelet length, 5–7-veined; upper glume separated from lower glume by a short internode, 5–7-veined; upper lemma finely rugose, apex subacute. Fl. and fr. Sep–Nov. 2n = 72."
Setaria parviflora,"

Annual or short-lived perennial with basal buds or a short knotty rhizome. Culms erect or geniculate, 20–90 cm tall. Leaf sheaths keeled, glabrous; leaf blades stiff, flat or involute, 5–30 × 0.2–0.8 cm, glabrous or adaxial surface pilose at base, apex acuminate; ligule ca. 1 mm. Panicle densely cylindrical, 2–15 × 0.5–1.2 cm; branches reduced to a single mature spikelet subtended by 8–12 bristles; axis pubescent; bristles golden or purplish brown when mature, 2–3 times spikelet length. Spikelets elliptic, 1.8–2.5 mm; lower glume ovate, 1/3 as long as spikelet, acute; upper glume broadly ovate, ca. 1/2 as long as spikelet, obtuse; lower floret neuter; lower palea firmly membranous, lanceolate, about as long as the upper floret but narrower, keels wingless, minutely papillose; upper lemma ovate-elliptic, finely rugose. Fl. and fr. Oct–Dec. 2n = 72.


Forms with perennating basal buds persisting for more than one season are sometimes separated as a different species, but there are no other distinguishing features and this character is probably of little significance. Specimens lacking basal parts become impossible to assign to species. However, if they are separated, Setaria pallidefusca is the correct name for the annual form."
Carex remota,"A densely tufted glabrous perennial 30-60 cm often forming stools 30 cm high. Rhizomes short. Roots pale purple brown. Scales brown, persistent, rarely becoming fibrous. Stems bluntly trigonous, smooth below, with 2 serrulate angles above, spreading. Lvs 25-60 cm x 1.5-2 mm, nearly equalling stems, channelled, gradually tapering to a long slender pendulous point, bright green. Ligule 1-2 mm, triangular, acute or obtuse. Lower sheaths straw coloured, not fibrous, forming false stems in sterile shoots. Infl 1/4-1/3 lngth of stem up to 30 cm, often curved. Spikes usually 4-7(-9), lower remote, upper ± contiguous,           male at base, upper mostly male, lower mostly female, lower 7-10 x 3-4 mm, upper smaller. Peduncles 0. Lower bracts lf-like, exceeding infl., upper glumaceous.  Male glumes 2.5-3 mm, ovate-elliptic, acute, pale brown hyaline with green midrib. Female glumes 2.5 mm, lanceolate to ovate, acute, hyaline, midrib green below, brown above.  Utricle 2.5-3 mm, ovate, plano-convex, ± shiny,           greenish, distinctlvely veined on abaxial face. Beak 0.5 mm, broad, serrulate, spilt or notched. Stigmas 2. Nut 2 mm, ovate biconvex."
Poa angustifolia,"A small, tufted,  perennial, 20-60 cm high, with slender wiry rhizomes. Culms erect , slender, stiff, 2 noded, smooth. Lvs green; sheaths smooth or the lower minutely rough, the basal keeled; ligule membranous, the lower extremely short, the upper 1 mm. ; blades abruptly puinted or blunt, the basal setaceous, 3-30 cm, folded about the midrib and bluntly keeled, or opening out 1-2 mm wide, those of the culm sometimes wider, smooth, or slightly rough near the tip, hairless or minutely hairy above. Panicles 3-14 cm, erect or nodding, lanceolate to ovate, loose or contracted, purplish or green, glumes subequal, minutely rough on the keel, the lower 1.5-2.5 mm, 1 nerved, the upper 2-3 mm, 3 nerved; lemmas 2-3 mm with a fringe of short white hairs pn the keel and marginal nerves below the middle, longer hairs at the base, tips and margins hyaline, 5 nerved; Palea as long as lemma with minutely rough keels. Anthers 1.2-2 mm "
Poa angustifolia,"

Plant often greyish-green, densely tufted; culms (20-)50-70cm high; basal leaf-blades wiry and bristle-like, 3-40cm long, 0.8-1.5(-2)mm wide, often as long as the culms, the upper shorter and sometimes flat; ligule usually not decurrent on the sheath margins; spikelets 2.5-5mm long; lemmas 2-3mm long."
Rubus ellipticus,"

Shrubs 1–3 m tall. Branchlets purplish brown or brownish, pubescent, with sparse, curved prickles and dense, purplish brown bristles or glandular hairs. Leaves imparipinnate, 3-foliolate; petiole 2–6 cm, petiolule of terminal leaflet 2–3 cm, lateral leaflets subsessile, petiolule and rachis purplish red bristly, pubescent, with minute prickles; stipules linear, 7–11 mm, pubescent, with intermixed glandular hairs; blade of leaflets elliptic or obovate, 4–8(–12) × 3–6(–9) cm, terminal leaflet much larger than lateral leaflets, abaxially densely tomentose, with purplish red bristles along prominent veins, adaxially veins impressed, pubescent along midvein, base rounded, margin unevenly minute sharply serrate, apex acute, abruptly pointed, shallowly cordate, or subtruncate. Inflorescences terminal, dense glomerate racemes, (1.5–)2–4 cm, flowers several to 10 or more, or flowers several in clusters in leaf axils, rarely flowers solitary; rachis and pedicels pubescent, bristly; bracts linear, 5–9 mm, pubescent. Pedicel 4–6 mm. Flowers 1–1.5 cm in diam. Calyx abaxially pubescent, intermixed yellowish tomentose, sparsely bristly; sepals erect, ovate, 4–5(–6) × 2–3(–4) mm, abaxially densely yellowish gray tomentose, apex acute and abruptly pointed. Petals white or pink, spatulate, longer than sepals, margin premorse, densely pubescent, base clawed. Stamens numerous, shorter than petals; filaments broadened and flattened basally. Ovary pubescent; styles glabrous, slightly longer than stamens. Aggregate fruit golden yellow, subglobose, ca. 1 cm in diam., glabrous or drupelets pubescent at apex; pyrenes triangular-ovoid, densely rugulose. Fl. Mar–Apr, fr. Apr–May. 2n = 14."
Psidium guajava,"

 Shrubs or trees to 8 m; trunk light brown, reddish brown, or light grayish green, mostly smooth, with large, flaky scales; young twigs green, quadran­gular, slightly to strongly winged, often sulcate, at least when dry, older twigs reddish brown to grayish green, smooth or scaly; young growth glabrate to densely appressed-pubescent, hairs whitish, yellowish, or silvery, to ca. 0.7 mm. Leaves: petiole channeled, 2–5 × 1–2 mm, densely pubescent to glabrate; blade drying yellowish green, grayish green, or reddish brown, elliptic, oblong, elliptic-oblanceolate, elliptic-obovate, or lanceolate, 4.5–14 × 2.4–7.5 cm, 1.6–3.8 times as long as wide, leathery to submembranous, midvein prominent abaxially, impressed adaxially, lateral veins 9–22 pairs, prominent, ascending (at ca. 45°), nearly straight, curving upward near margin and connecting with next lateral vein, smaller veins connecting laterals in ladder­like to reticulate pattern, base rounded to slightly cordate, apex acute, acuminate, or rounded, surfaces densely to sparsely appressed-pubescent abaxially, glabrate adaxially (except midvein puberulent). Peduncles 1–3.5 cm × 1–1.5 mm, terete. Inflorescences 1- or 3-flowered, borne in leaf axils; bracteoles linearto narrowly triangular, 2–5 mm, sparsely pubescent. Flowers: bud subfusiform to pyriform, 10–17 mm, sometimes strongly constricted near midpoint, apex usually conic; hypanthium to summit of ovary obconic, ca. 1/2 as long as closed flower bud; calyx closed, conicin bud, tearing irregularly as bud opens, persisting or falling in ca. 3 parts; petals obovate to elliptic, 13–22 mm; disc 4–6 mm across; stamens 280–720,7–15 mm; anthers 0.7–1 mm; style 10–15 mm; stigma ca. 0.5 mm wide; ovary 3–6-locular; ovules 90–180 per locule (multiseriate). Berries aromatic, green or yellow, with pink or white flesh inside, globose or pyriform, 20–60(–80) mm. Seeds usually 50+, subreniform,3–4 mm, ± smooth.
Psidium guineense Swartz, common in tropical and subtropical America, is a similar weedy species that is often confused with P. guajava. One specimen collected at Bradenton, Florida, in 1916 has been seen; it may be expected in the southeastern United States. Psidium guineense differs from P. guajava in having leaves with fewer lateral veins, usually erect, reddish brown (not appressed and whitish) hairs on the abaxial surfaces, anthers 1–3 mm, and a calyx that tears in usually five (not three) segments."
Psidium guajava,"番石榴 fan shi liu 



Trees, to 13 m tall. Bark gray, smooth, peeling in strips. Branchlets angular, pubescent. Petiole ca. 5 mm; leaf blade oblong to elliptic, 6-12 × 3.5-6 cm, leathery, abaxially pubescent, adaxially slightly rough, secondary veins 12-15 on each side of midvein and usually impressed, reticulate veins obvious, base rounded, apex acute to obtuse. Flowers solitary or 2 or 3 in cymes. Hypanthium campanulate, ca. 5 mm, pubescent. Calyx cap nearly rounded, 7-8 mm, irregularly opening. Petals white, 1-1.4 cm. Stamens 6-9 mm. Ovary adnate to hypanthium. Style as long as stamens. Berry globose, ovoid, or pyriform, 3-8 cm, with persistent calyx lobes at apex; flesh white or yellow; placenta reddish, well developed, fleshy. Seeds many. Fl. summer."
Silene vulgaris,"A perennial; stock loosely branched, woody; stems  erect or ascending, all flowering, simple of branched above, usually labrous but sometimes hairy. Lvs elliptic-lanceolate to ovate, rarely linear, the middle lvs averaging 4.5-1.2 cm; lowest short stalked, upper sessile, all acute, glabrous or ciliate, often somewhat glaucous.  Infl. a many fld subcorymbose cyme or lax dichasia with scarious bracts, often unisexual. Fls 18 mm diam, drooping, fragrant. Calyx pale green or reddish, bladdery, ovoid to subglobular with the mouth narrower than the base, 20 veined with a strong connecting network of veins, glabrous or downy with 5 broadly triangular teeth. Petals white, 14 mm wide, deeply bifid usually with small inconspicuous coronal scales or bosses. Styles 3.  Fr a capsule enclosed by the calyx, broady ovoid with 6 erect teeth; carpophore about 1/3 as long as the capsule. Seeds white when young, 1.2-1.5 mm across, usually with dense acute tubercles."
Silene vulgaris,"

Plants short-lived perennial, gla-brous, rarely pubescent, glaucous; taproot stout; caudex woody. Stems several-many, erect, branched and decumbent at base, rarely simple, 20-80 cm. Leaves mainly cauline, 2 per node, sessile, almost clasping, reduced proximal to inflorescence, blade broadly oblong to oblanceolate or lanceolate, rarely ± linear, 2-8 cm × 5-30 mm, base round, apex acute to acuminate. Inflorescences open dichasial cyme, 5-40-flowered, bracteate; bracts much-reduced, lanceolate. Pedicels 0.5-3 cm. Flowers bisexual and unisexual, some plants having bisexual flowers, others having pistillate unisexual flowers, 15-20 mm diam.; calyx pale green, rarely purplish, campanulate, not contracted at mouth or base, inflated, 9-12 mm in flower, 12-18 × 7-11 mm in fruit, herbaceous, papery, venation obscure, reticulate, without conspicuous pale commissures, margins dentate, lobes broadly triangular, 2-3 mm, glabrous; petals white, ca. 2 times as long as calyx; limb obovate, emarginate to 2-lobed; stamens exserted by 2-4 mm; styles 3, cream to greenish, at most slightly pink tinged, 2 times longer than calyx. Capsules ovoid to globose, equaling calyx, opening by 6 teeth; carpophore 2-3 mm. Seeds black or nearly so, globose-reniform, 1-1.5 mm, finely tuberculate. 2n = 24."
Silene vulgaris,"

Herbs perennial, grayish green, 40--100 cm tall, glabrous throughout. Roots slightly robust, lignified. Stems sparsely caespitose, erect, usually gray, apically branched. Leaves lanceolate to ovate, 4--10 × 1--3(--4.5) cm, proximal cauline leaves with prominent midvein, base attenuate, apex acuminate or acute; distal leaves cuneate, slightly clasping. Flowers usually in many-flowered dichasia, sometimes in thyrsoid inflorescences; flowers sometimes spreading or slightly nutant. Pedicel shorter than or subequaling calyx; bracts ovate-lanceolate, herbaceous. Calyx usually violet-tinged, broadly ovoid, inflated, 1.3--1.6 cm × 5--7 mm, submembranous, with 20 anastomosing veins; calyx teeth broadly triangular, short, ciliate. Androgynophore ca. 2 mm, glabrous. Petals 1.5--1.8 cm; claws cuneate-oblanceolate, glabrous, auricles ovoid; limbs exserted beyond calyx, white, obovate, deeply bifid to base of limb, lobes narrowly obovate; coronal scales small. Stamens and styles prominently exserted; filaments glabrous; anthers violet. Styles 3. Capsule subglobose, ca. 8 mm in diam., shorter than calyx. Seeds globose-reniform, ca. 1.5 mm. Fl. Jun--Aug, fr. Aug--Sep. 2n = 24, 48."
Silene vulgaris,"

Plants up to 68 cm tall, with a branched woody stock. Stems weak, glabrous, greenish-yellow, erect to ascending, scarcely branching. Leaves 25-50 x 15-25 mm, ovate to ovate-lanceolate, obovate to spathulate, base attenuate; acute, surface glabrous, margin scabrid. Bracts and .bracteoles lanceolate-linear, often carious. Inflorescence a few-flowered dichasium. Pedicels slender, glabrous. Calyx 14-18 (-20) mm, campanulate, inflated, in fruit bladdery, greenish-yellow; glabrous; teeth broadly triangular, acute; nerves about 20, distinct. Petals white pink, limb 5- 6 mm, deeply bifid; claw 12-13 mm, auriculate. Coronal small or sometimes absent. Carpophore 3-4 mm, glabrous. Capsule c. 10 mm, contracted at the mouth. Seeds c. 1 mm long, reniform, black, with tube arranged in concentric rings."
Cydonia oblonga,"A shrub or small tree, to 8 m. Twigs terete, purplish red, purplish brown when old, initially densely tomentose, glabrous when old, sparsely lenticellate; Buds purplish brown, tomentose. Stipules caducous, ovate; Lvs 5–10 × 3–5 cm, ovate to oblong, acute or emarginate, rounded or subcordate, abaxially   veins conspicuous and densely villous, adaxially glabrous or sparsely pubescent when young, margin entire;  Petiole 0.8–1.5 cm, tomentose.  Fls solitary, 4–5 cm in diam; Bracts caducous, ovate; Pedicel ca. 5 mm or nearly absent, densely tomentose.  Hypanthium campanulate, abaxially densely tomentose. Sepals ovate or broadly lanceolate, 5–6 mm, longer than hypanthium, both surfaces tomentose, margin glandular serrate, apex acute. Petals white or pinkish, ca. 1.8 cm. Stamens less than 1/2 as long as petals. Styles nearly as long as stamens, densely villous basally.  Fruit 3–5 cm diam, ovate to pear shaped, fragrant, yellow, densely tomentose;   reflexed sepals persistent; fruiting pedicel ca. 5 mm, stout, tomentose."
Cydonia oblonga,"

Branches purplish red, densely tomentose young, purplish brown, glabrous with age. Leaves: petiole 3–10 mm, tomentose young; blade 5–10 × 3–5 cm, base rounded or subcordate, apex acute or emarginate, lustrous or semilustrous. Pedicels 0–5 mm. Flowers: sepals 5–6 mm, apex acute; petals 15–20 mm. 2n = 34."
Cydonia oblonga,"

Shrubs or small trees, to 8 m tall. Branchlets purplish red when young, purplish brown when old, terete, initially densely tomentose, glabrous when old, sparsely lenticellate; buds purplish brown, tomentose. Stipules caducous, ovate; petiole 0.8–1.5 cm, tomentose; leaf blade ovate to oblong, 5–10 × 3–5 cm, abaxially with conspicuous veins and densely villous, adaxially glabrous or sparsely pubescent when young, base rounded or subcordate, margin entire, apex acute or emarginate. Pedicel ca. 5 mm or nearly absent, densely tomentose. Flowers 4–5 cm in diam.; bracts caducous, ovate. Hypanthium campanulate, abaxially densely tomentose. Sepals ovate or broadly lanceolate, 5–6 mm, longer than hypanthium, both surfaces tomentose, margin glandular serrate, apex acute. Petals white or pinkish, ca. 1.8 cm. Stamens less than 1/2 as long as petals. Styles nearly as long as stamens, densely villous basally. Fruit fragrant, yellow, pear-shaped, 3–5 cm in diam., densely tomentose; with persistent reflexed sepals; fruiting pedicel ca. 5 mm, stout, tomentose. Fl. Apr–May, fr. Oct. 2n = 34*."
Thespesia populnea,"Cork-tree, portia tree, seaside mahoe, Spanish cork, majagua Cork-tree, portia tree, seaside mahoe, Spanish cork, majagua 



Trees 2–12 m. Stems lepidote to glabrate when young. Leaves: stipules 3–7 mm; petiole mostly 2/3–1 times length of blade; blade 6–13 cm, apex acute or acuminate, venation palmate, with nectariferous zone near base of midrib. Inflorescences: flowers large. Pedicels erect, stout, shorter than subtending petiole; involucellar bractlets irregularly inserted, ligulate. Flowers: calyx 8–10 mm, subglabrous, minutely lepidote; petals 4–6 cm, punctate; staminal column pallid, ca. 1/2 length of petals, apically 5-dentate, glabrous; style exceeding stamens; stigmas decurrent. Capsules (3–)5-locular, 3–3.5 cm diam.. Seeds 8–9 mm. 2n = 24, 26."
Thespesia populnea,"

Trees or shrubs, evergreen, 3-6 m tall. Branchlets with minute brown peltate scales, sometimes dense. Stipules filiform-lanceolate, 2-7 mm, usually caducous; petiole 4-10 cm, scaly; leaf blade ovate-cordate to triangular, 7-18 × 4.5-12 cm, abaxially with scales, adaxially glabrous or with scales, base truncate to cordate, margin entire, apex long caudate. Flowers solitary, axillary. Pedicel 2.5-6 cm, densely scaly. Epicalyx lobes 3-4, filiform-lanceolate, 8-10 mm, usually caducous, scaly. Calyx cup-shaped, 1-1.5 cm in diam., subtruncate with 5 ca. 0.5 mm teeth, densely scaly. Corolla yellow, adaxially purple at base, campanulate, ca. 5 cm. Staminal column ca. 25 mm. Fruit stipe 6-8 cm. Capsule globose to pyriform, ca. 5 × 2 cm in diam., slightly fleshy, ± indehiscent. Seeds triangular-ovoid, 8-9 mm, brown hairy or glabrous, veined. Fl. year-round."
Thespesia populnea,"

A medium sized tree, 4-8 m tall. Branches green, peltate hairy, glabrescent. Leaves ovate, short acuminate, entire, 5-15 cm long, 3-10 cm broad, peltate hairy to almost completely glabrous, young parts green; stipules linear-lanceolate, somewhat ensiform, 5-8 mm long, c. 2 mm broad, peltate hairy, caducous; petiole 5-10 cm long, sparsely peltate hairy, glabrescent. Flowers axillary, solitary; pedicel jointed at base, 3 mm across, 1-5 cm long, accrescent in fruit, peltate hairy, erect; bracteoles 2, bracteate joints present, subulate to linear-lanceolate, opposite, 2 mm broad. Epicalyx segments 3, spirally arranged, up to 0.5-2 cm long, 2-4 mm broad, lanceolate, peltate hairy, caducous. Calyx cupular, 1-1.5 cm long, 1.5-2 cm across, entire or minutely 5 toothed; peltate hairy without, dense, simple, appressed hairy within, coriaceous, persistent. Corolla pale yellow with a crimson centre, turning reddish in the evening, 3-6 cm across; petals 6-7 cm long, c.5 cm broad, peltate hairy outside on the covering margin, claw fleshcy, iliate. Staminal column 1 cm long, glabrous. Young fruits and buds when cut exude yellow gum. Fruit ± globose, 2-3 cm across, often with a mucro above, indehiscent, easily pressed by fingure, smooth or somewhat 5-angular, peltate hairy, more so above, glabrescent, 5-celled, each cell 2-4 seeded. Seeds obovoid, angular, c. 1 cm long, 6 mm broad, rounded above, acute below, covered by dense soft hairs, long and somewhat loose hairy at base.

Lectotype: Herb. Herm. Vol. V. fol. 208. t. 258 (BM!). 


In Pakistan it is confined to coastal region particularly in Karachi, where it is cultivated along road side as a shade tree."
